name,version,platform,vdpx,framework_version,python_version,min_vam_version
meinberg.gps,1.1.9,linux_x86_64,meinberg.gps-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
microsoft.winrm,1.1.1,win_amd64,microsoft.winrm-1.1.1-win_amd64._vdpx,2.7.5,3.9,1.38
microsoft.winrm,1.1.1,linux_x86_64,microsoft.winrm-1.1.1-linux_x86_64._vdpx,2.7.5,3.9,1.38
moxa.dsc,1.1.4,win_amd64,moxa.dsc-1.1.4-win_amd64._vdpx,2.7.5,3.9,1.38
moxa.dsc,1.1.4,linux_x86_64,moxa.dsc-1.1.4-linux_x86_64._vdpx,2.7.5,3.9,1.38
moxa.edr,1.1.9,linux_x86_64,moxa.edr-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
moxa.edr,1.1.9,win_amd64,moxa.edr-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
moxa.eds,1.1.11,win_amd64,moxa.eds-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
moxa.eds,1.1.11,linux_x86_64,moxa.eds-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
moxa.nport,1.1.10,win_amd64,moxa.nport-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
moxa.nport,1.1.10,linux_x86_64,moxa.nport-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
onvif.generic,1.1.10,win_amd64,onvif.generic-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
onvif.generic,1.1.10,linux_x86_64,onvif.generic-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
owl.opds,1.1.8,linux_x86_64,owl.opds-1.1.8-linux_x86_64._vdpx,2.7.5,3.9,1.38
owl.opds,1.1.8,win_amd64,owl.opds-1.1.8-win_amd64._vdpx,2.7.5,3.9,1.38
